category,author,quote,source
Motivation/Inspiration,Aristotle,"We are what we repeatedly do. Excellence then, is not an act, but a habit.",
Motivation/Inspiration,Louis Nizer,He who works with his hands is a laborer. He who works with his hands and his head is a craftsman. He who works with his hands and his head and his heart is an artist.,
Motivation/Inspiration,Thomas Jefferson,"I am a great believer in luck, and I find the harder I work, the more I have of it.",
Motivation/Inspiration,Yogi Berra,"When you come to a fork in the road, take it.",
Motivation/Inspiration,Teddy Roosevelt,"Far better is it to dare mighty things, to win glorious triumphs, even though checkered by failure... than to rank with those poor spirits who neither enjoy nor suffer much, because they live in a gray twilight that knows not victory nor defeat.",
Motivation/Inspiration,Mahatma Ghandi,"Your words become your actions, Your actions become your habits, Your habits become…your destiny.",
Motivation/Inspiration,Colin Powell,"There are no secrets to success. It is the result of preparation, hard work, and learning from failure.",
Advice,,Don't light yourself on fire to keep someone else warm,
Beautiful explanations,Albert Einstein,"If you can’t explain it simply, you don’t understand it well enough.",
Beautiful explanations,Benjamin Franklin,"Those who surrender freedom for security will not have, nor do they deserve, either one.",
Beautiful explanations,Abraham Lincoln,Better to remain silent and be thought a fool than to speak out and remove all doubt.,
Beautiful explanations,Pablo Picasso,When art critics get together they talk about Form and Structure and Meaning. When artists get together they talk about where you can buy cheap turpentine.,
Beautiful explanations,Raylan Givens,"If you run into an asshole in the morning, you ran into an asshole. If you run into assholes all day, you’re the asshole.",
Beautiful explanations,Christopher Hitchens,"Take the risk of thinking for yourself, much more happiness, truth, beauty, and wisdom will come to you that way.",
Beautiful explanations,Christopher Hitchens,What can be asserted without evidence can be dismissed without evidence.,
Beautiful explanations,Louis C.K.,The only time you look in your neighbor's bowl is to make sure that they have enough. You don't look in your neighbor's bowl to see if you have as much as them.,
Education,Alvin Toffler,"The illiterate of the 21st century will not be those who cannot read and write, but those who cannot learn, unlearn, and relearn.",
Education,Bertrand Russell,The time you enjoy wasting is not wasted time.,
Education,Derek Bok - former president of Harvard University,"If you think education is expensive, try the cost of ignorance.",
Education,Martin Luther King Jr.,The function of education is to teach one to think intensively and to think critically. Intelligence plus character - that is the goal of true education.,
Education,Carl Sagan,"What an astonishing thing a book is. It's a flat object made from a tree with flexible parts on which are imprinted lots of funny dark squiggles. But one glance at it and you're inside the mind of another person, maybe somebody dead for thousands of years. Across the millennia, an author is speaking clearly and silently inside your head, directly to you. Writing is perhaps the greatest of human inventions, binding together people who never knew each other, citizens of distant epochs. Books break the shackles of time. A book is proof that humans are capable of working magic.",
